sea_level,time
millimeters,UTC
NaN,1990-02-15T12:00:00Z
NaN,1990-02-16T12:00:00Z
NaN,1990-02-17T12:00:00Z
NaN,1990-02-18T12:00:00Z
NaN,1990-02-19T12:00:00Z
NaN,1990-02-20T12:00:00Z
NaN,1990-02-21T12:00:00Z
NaN,1990-02-22T12:00:00Z
NaN,1990-02-23T12:00:00Z
NaN,1990-02-24T12:00:00Z
NaN,1990-02-25T12:00:00Z
NaN,1990-02-26T12:00:00Z
NaN,1990-02-27T12:00:00Z
NaN,1990-02-28T12:00:00Z
NaN,1990-03-01T12:00:00Z
NaN,1990-03-02T12:00:00Z
NaN,1990-03-03T12:00:00Z
NaN,1990-03-04T12:00:00Z
NaN,1990-03-05T12:00:00Z
NaN,1990-03-06T12:00:00Z
NaN,1990-03-07T12:00:00Z
NaN,1990-03-08T12:00:00Z
NaN,1990-03-09T12:00:00Z
NaN,1990-03-10T12:00:00Z
NaN,1990-03-11T12:00:00Z
NaN,1990-03-12T12:00:00Z
NaN,1990-03-13T12:00:00Z
NaN,1990-03-14T12:00:00Z
NaN,1990-03-15T12:00:00Z
NaN,1990-03-16T12:00:00Z
NaN,1990-03-17T12:00:00Z
NaN,1990-03-18T12:00:00Z
NaN,1990-03-19T12:00:00Z
NaN,1990-03-20T12:00:00Z
NaN,1990-03-21T12:00:00Z
NaN,1990-03-22T12:00:00Z
NaN,1990-03-23T12:00:00Z
NaN,1990-03-24T12:00:00Z
NaN,1990-03-25T12:00:00Z
NaN,1990-03-26T12:00:00Z
NaN,1990-03-27T12:00:00Z
NaN,1990-03-28T12:00:00Z
NaN,1990-03-29T12:00:00Z
NaN,1990-03-30T12:00:00Z
NaN,1990-03-31T12:00:00Z
NaN,1990-04-01T12:00:00Z
NaN,1990-04-02T12:00:00Z
NaN,1990-04-03T12:00:00Z
NaN,1990-04-04T12:00:00Z
NaN,1990-04-05T12:00:00Z
NaN,1990-04-06T12:00:00Z
NaN,1990-04-07T12:00:00Z
NaN,1990-04-08T12:00:00Z
NaN,1990-04-09T12:00:00Z
NaN,1990-04-10T12:00:00Z
NaN,1990-04-11T12:00:00Z
NaN,1990-04-12T12:00:00Z
NaN,1990-04-13T12:00:00Z
NaN,1990-04-14T12:00:00Z
NaN,1990-04-15T12:00:00Z
NaN,1990-04-16T12:00:00Z
NaN,1990-04-17T12:00:00Z
NaN,1990-04-18T12:00:00Z
NaN,1990-04-19T12:00:00Z
NaN,1990-04-20T12:00:00Z
NaN,1990-04-21T12:00:00Z
NaN,1990-04-22T12:00:00Z
NaN,1990-04-23T12:00:00Z
NaN,1990-04-24T12:00:00Z
NaN,1990-04-25T12:00:00Z
NaN,1990-04-26T12:00:00Z
NaN,1990-04-27T12:00:00Z
NaN,1990-04-28T12:00:00Z
NaN,1990-04-29T12:00:00Z
NaN,1990-04-30T12:00:00Z
NaN,1990-05-01T12:00:00Z
NaN,1990-05-02T12:00:00Z
NaN,1990-05-03T12:00:00Z
NaN,1990-05-04T12:00:00Z
NaN,1990-05-05T12:00:00Z
NaN,1990-05-06T12:00:00Z
NaN,1990-05-07T12:00:00Z
NaN,1990-05-08T12:00:00Z
NaN,1990-05-09T12:00:00Z
1763,1990-05-10T12:00:00Z
1768,1990-05-11T12:00:00Z
1771,1990-05-12T12:00:00Z
NaN,1990-05-13T12:00:00Z
NaN,1990-05-14T12:00:00Z
NaN,1990-05-15T12:00:00Z
1718,1990-05-16T12:00:00Z
1749,1990-05-17T12:00:00Z
1802,1990-05-18T12:00:00Z
1794,1990-05-19T12:00:00Z
1783,1990-05-20T12:00:00Z
1785,1990-05-21T12:00:00Z
1772,1990-05-22T12:00:00Z
1739,1990-05-23T12:00:00Z
1691,1990-05-24T12:00:00Z
1687,1990-05-25T12:00:00Z
1720,1990-05-26T12:00:00Z
1746,1990-05-27T12:00:00Z
1734,1990-05-28T12:00:00Z
1744,1990-05-29T12:00:00Z
1785,1990-05-30T12:00:00Z
1818,1990-05-31T12:00:00Z
1886,1990-06-01T12:00:00Z
1884,1990-06-02T12:00:00Z
1854,1990-06-03T12:00:00Z
1844,1990-06-04T12:00:00Z
1829,1990-06-05T12:00:00Z
1804,1990-06-06T12:00:00Z
1771,1990-06-07T12:00:00Z
